0.005869;0;-0.617576;1.43025;0.010763833;0.25;0.0000;1.0470;0.4812;0.4327;0.4268;0.4148;0.4253;0.4322;0.4495
0.005797;0;-0.44166;1.17185;0.011099189;0.5;0.0000;0.9647;0.5079;0.4637;0.4477;0.4390;0.4377;0.4452;0.4576
0.00558;0;-0.182584;0.899599;0.011602429;0.75;0.0000;0.8253;0.5033;0.4648;0.4494;0.4387;0.4348;0.4375;0.4463
0.006004;0.027118;0.179593;0.808535;0.012193564;1;0.0000;0.6796;0.4788;0.4474;0.4501;0.4435;0.4478;0.4611;0.4754
0.006057;0;0.009768;0.997566;0.016195984;2;0.0000;0.9119;0.5417;0.4628;0.4529;0.4461;0.4386;0.4387;0.4442
0.031362;0.380887;0.079566;0.371217;0.028436364;5;0.4040;0.3541;0.3218;0.3107;0.3048;0.2975;0.2923;0.2873;0.2870
0.022713;0.328955;-0.055713;0.265421;0.033873471;10;0.3026;0.2725;0.2510;0.2422;0.2343;0.2279;0.2228;0.2161;0.2128
0.006417;0;0.347181;0.50542;0.01601749;0.25;1.1870;0.6027;0.4655;0.4278;0.4030;0.3879;0.3789;0.3710;0.3725
0.010782;0.110854;0.322696;0.455014;0.01680246;0.5;0.9568;0.5800;0.4661;0.4339;0.4125;0.3969;0.3888;0.3801;0.3785
0.014339;0.174437;0.246052;0.423635;0.017681947;0.75;0.8325;0.5562;0.4578;0.4288;0.4078;0.3914;0.3821;0.3719;0.3692
0.01712;0.211171;0.280856;0.382552;0.018623226;1;0.7242;0.5240;0.4446;0.4210;0.4042;0.3904;0.3807;0.3699;0.3668
0.041026;0.422692;-0.050892;0.375533;0.022384186;2;0.5704;0.4686;0.4119;0.3925;0.3781;0.3656;0.3561;0.3438;0.3380
0.027469;0.34533;-0.005954;0.313709;0.030538725;5;0.3720;0.3304;0.3016;0.2910;0.2816;0.2758;0.2700;0.2617;0.2572
0.0205;0.31125;-0.103107;0.31123;0.033460207;10;0.3108;0.2749;0.2488;0.2387;0.2304;0.2237;0.2184;0.2115;0.2083
0.019485;0.238678;-0.139061;0.616454;0.02299003;0.25;0.6333;0.4909;0.4010;0.3679;0.3451;0.3314;0.3229;0.3128;0.3121
0.049107;0.477351;-0.255881;0.648114;0.023535063;0.5;0.6149;0.4851;0.4044;0.3755;0.3533;0.3355;0.3276;0.3202;0.3207
0.047273;0.468191;-0.267248;0.5935;0.02411912;0.75;0.5860;0.4693;0.3957;0.3690;0.3493;0.3319;0.3217;0.3121;0.3110
0.038281;0.409097;-0.254194;0.492095;0.02472472;1;0.5544;0.4527;0.3888;0.3656;0.3471;0.3310;0.3191;0.3058;0.3008
0.023674;0.281438;-0.120087;0.370017;0.027193323;2;0.4725;0.4022;0.3553;0.3377;0.3249;0.3113;0.3011;0.2885;0.2820
0.023392;0.310695;-0.075433;0.349609;0.031883549;5;0.3598;0.3166;0.2859;0.2743;0.2655;0.2576;0.2514;0.2435;0.2400
0.023431;0.343333;-0.104906;0.300193;0.031009202;10;0.3363;0.2958;0.2669;0.2559;0.2469;0.2395;0.2337;0.2259;0.2218
0.03452;0.391367;-0.470671;0.694001;0.026332222;0.25;0.5802;0.4622;0.3782;0.3453;0.3178;0.2952;0.2785;0.2616;0.2603
0.043302;0.447111;-0.414393;0.61452;0.026549479;0.5;0.5492;0.4466;0.3752;0.3475;0.3246;0.3063;0.2924;0.2766;0.2725
0.026532;0.315033;-0.277036;0.491799;0.026784261;0.75;0.5122;0.4223;0.3622;0.3398;0.3216;0.3055;0.2932;0.2785;0.2736
0.033496;0.377633;-0.277912;0.45876;0.027026331;1;0.4938;0.4128;0.3589;0.3387;0.3221;0.3071;0.2959;0.2821;0.2759
0.022917;0.279378;-0.142376;0.40609;0.027948737;2;0.4582;0.3897;0.3428;0.3250;0.3106;0.2983;0.2886;0.2771;0.2725
0.038837;0.468496;-0.174938;0.401184;0.029244346;5;0.3815;0.3285;0.2921;0.2787;0.2693;0.2603;0.2540;0.2469;0.2458
0.023125;0.354191;-0.07777;0.25809;0.027080947;10;0.3545;0.3059;0.2733;0.2611;0.2532;0.2447;0.2379;0.2288;0.2239
0.041951;0.430881;-0.467713;0.708523;0.025244793;0.25;0.6280;0.4963;0.4060;0.3720;0.3427;0.3189;0.3012;0.2832;0.2811
0.049221;0.470906;-0.41375;0.633981;0.025399329;0.5;0.5954;0.4782;0.4003;0.3715;0.3474;0.3272;0.3121;0.2952;0.2913
0.044523;0.446258;-0.374718;0.565504;0.02556703;0.75;0.5678;0.4617;0.3917;0.3656;0.3437;0.3252;0.3111;0.2947;0.2900
0.026007;0.298102;-0.30295;0.456649;0.025740162;1;0.5536;0.4552;0.3898;0.3650;0.3453;0.3270;0.3126;0.2939;0.2860
0.045041;0.454831;-0.302397;0.448259;0.026399841;2;0.5056;0.4248;0.3709;0.3506;0.3345;0.3201;0.3088;0.2942;0.2876
0.044325;0.492293;-0.225052;0.411755;0.027290758;5;0.4261;0.3623;0.3189;0.3028;0.2921;0.2806;0.2729;0.2641;0.2614
0.033241;0.455184;-0.161415;0.277675;0.025954115;10;0.3664;0.3137;0.2792;0.2666;0.2575;0.2487;0.2420;0.2330;0.2286
